date,year,month,fire_counts
2021-06-20,2021,6,0
2021-06-21,2021,6,0
2021-06-22,2021,6,0
2021-06-23,2021,6,0
2021-06-24,2021,6,0
2021-06-25,2021,6,0
2021-06-26,2021,6,0
2021-06-27,2021,6,0
2021-06-28,2021,6,0
2021-06-29,2021,6,0
2021-06-30,2021,6,0
2021-07-01,2021,7,0
2021-07-02,2021,7,0
2021-07-03,2021,7,0
2021-07-04,2021,7,0
2021-07-05,2021,7,0
2021-07-06,2021,7,0
2021-07-07,2021,7,0
2021-07-08,2021,7,0
2021-07-09,2021,7,0
2021-07-10,2021,7,0
2021-07-11,2021,7,0
2021-07-12,2021,7,0
2021-07-13,2021,7,0
2021-07-14,2021,7,0
2021-07-15,2021,7,0
2021-07-16,2021,7,0
2021-07-17,2021,7,0
2021-07-18,2021,7,0
2021-07-19,2021,7,1
2021-07-20,2021,7,0
2021-07-21,2021,7,0
2021-07-22,2021,7,0
2021-07-23,2021,7,0
2021-07-24,2021,7,0
2021-07-25,2021,7,0
2021-07-26,2021,7,0
2021-07-27,2021,7,0
2021-07-28,2021,7,0
2021-07-29,2021,7,1
2021-07-30,2021,7,0
2021-07-31,2021,7,0
2021-08-01,2021,8,0
2021-08-02,2021,8,0
2021-08-03,2021,8,0
2021-08-04,2021,8,0
2021-08-05,2021,8,0
2021-08-06,2021,8,0
2021-08-07,2021,8,1
2021-08-08,2021,8,0
2021-08-09,2021,8,1
2021-08-10,2021,8,0
2021-08-11,2021,8,0
2021-08-12,2021,8,0
2021-08-13,2021,8,0
2021-08-14,2021,8,0
2021-08-15,2021,8,0
2021-08-16,2021,8,0
2021-08-17,2021,8,0
2021-08-18,2021,8,0
2021-08-19,2021,8,0
2021-08-20,2021,8,0
2021-08-21,2021,8,1
2021-08-22,2021,8,0
2021-08-23,2021,8,2
2021-08-24,2021,8,0
2021-08-25,2021,8,6
2021-08-26,2021,8,0
2021-08-27,2021,8,4
2021-08-28,2021,8,0
2021-08-29,2021,8,0
2021-08-30,2021,8,0
2021-08-31,2021,8,0
2021-09-01,2021,9,0
2021-09-02,2021,9,0
2021-09-03,2021,9,0
2021-09-04,2021,9,0
2021-09-05,2021,9,4
2021-09-06,2021,9,0
2021-09-07,2021,9,3
2021-09-08,2021,9,0
2021-09-09,2021,9,0
2021-09-10,2021,9,1
2021-09-11,2021,9,0
2021-09-12,2021,9,0
2021-09-13,2021,9,0
2021-09-14,2021,9,4
2021-09-15,2021,9,0
2021-09-16,2021,9,0
2021-09-17,2021,9,0
2021-09-18,2021,9,0
2021-09-19,2021,9,0
2021-09-20,2021,9,0
2021-09-21,2021,9,0
2021-09-22,2021,9,0
2021-09-23,2021,9,0
2021-09-24,2021,9,0
2021-09-25,2021,9,0
2021-09-26,2021,9,0
2021-09-27,2021,9,0
2021-09-28,2021,9,0
2021-09-29,2021,9,0
2021-09-30,2021,9,0
2021-10-01,2021,10,0
2021-10-02,2021,10,0
2021-10-03,2021,10,0
2021-10-04,2021,10,0
2021-10-05,2021,10,0
2021-10-06,2021,10,0
2021-10-07,2021,10,0
2021-10-08,2021,10,0
2021-10-09,2021,10,0
2021-10-10,2021,10,0
2021-10-11,2021,10,0
2021-10-12,2021,10,1
2021-10-13,2021,10,0
2021-10-14,2021,10,0
2021-10-15,2021,10,0
2021-10-16,2021,10,3
2021-10-17,2021,10,0
2021-10-18,2021,10,0
2021-10-19,2021,10,4
2021-10-20,2021,10,0
2021-10-21,2021,10,0
2021-10-22,2021,10,0
2021-10-23,2021,10,0
2021-10-24,2021,10,0
2021-10-25,2021,10,0
2021-10-26,2021,10,0
2021-10-27,2021,10,0
2021-10-28,2021,10,0
2021-10-29,2021,10,0
2021-10-30,2021,10,3
2021-10-31,2021,10,0
2021-11-01,2021,11,0
2021-11-02,2021,11,0
2021-11-03,2021,11,0
2021-11-04,2021,11,0
2021-11-05,2021,11,0
2021-11-06,2021,11,0
2021-11-07,2021,11,0
2021-11-08,2021,11,0
2021-11-09,2021,11,0
2021-11-10,2021,11,0
2021-11-11,2021,11,0
2021-11-12,2021,11,0
2021-11-13,2021,11,0
2021-11-14,2021,11,0
2021-11-15,2021,11,0
2021-11-16,2021,11,0
2021-11-17,2021,11,0
2021-11-18,2021,11,0
2021-11-19,2021,11,0
2021-11-20,2021,11,0
2021-11-21,2021,11,0
2021-11-22,2021,11,0
2021-11-23,2021,11,0
2021-11-24,2021,11,0
2021-11-25,2021,11,0
2021-11-26,2021,11,0
2021-11-27,2021,11,0
2021-11-28,2021,11,0
2021-11-29,2021,11,0
2021-11-30,2021,11,0
2021-12-01,2021,12,0
2021-12-02,2021,12,0
2021-12-03,2021,12,0
2021-12-04,2021,12,0
2021-12-05,2021,12,0
2021-12-06,2021,12,0
2021-12-07,2021,12,0
2021-12-08,2021,12,0
2021-12-09,2021,12,0
2021-12-10,2021,12,0
2021-12-11,2021,12,0
2021-12-12,2021,12,0
2021-12-13,2021,12,0
2021-12-14,2021,12,0
2021-12-15,2021,12,0
2021-12-16,2021,12,0
2021-12-17,2021,12,0
2021-12-18,2021,12,0
2021-12-19,2021,12,0
2021-12-20,2021,12,0
2021-12-21,2021,12,0
2021-12-22,2021,12,0
2021-12-23,2021,12,0
2021-12-24,2021,12,0
2021-12-25,2021,12,0
2021-12-26,2021,12,0
2021-12-27,2021,12,0
2021-12-28,2021,12,0
2021-12-29,2021,12,0
2021-12-30,2021,12,0
2021-12-31,2021,12,0
2022-01-01,2022,1,0
2022-01-02,2022,1,0
2022-01-03,2022,1,0
2022-01-04,2022,1,0
2022-01-05,2022,1,0
2022-01-06,2022,1,0
2022-01-07,2022,1,0
2022-01-08,2022,1,0
2022-01-09,2022,1,0
2022-01-10,2022,1,0
2022-01-11,2022,1,0
2022-01-12,2022,1,0
2022-01-13,2022,1,0
2022-01-14,2022,1,0
2022-01-15,2022,1,0
2022-01-16,2022,1,0
2022-01-17,2022,1,0
2022-01-18,2022,1,0
2022-01-19,2022,1,0
2022-01-20,2022,1,0
2022-01-21,2022,1,0
2022-01-22,2022,1,0
2022-01-23,2022,1,0
2022-01-24,2022,1,0
2022-01-25,2022,1,0
2022-01-26,2022,1,0
2022-01-27,2022,1,0
2022-01-28,2022,1,0
2022-01-29,2022,1,0
2022-01-30,2022,1,0
2022-01-31,2022,1,0
2022-02-01,2022,2,0
2022-02-02,2022,2,0
2022-02-03,2022,2,0
2022-02-04,2022,2,0
2022-02-05,2022,2,0
2022-02-06,2022,2,0
2022-02-07,2022,2,0
2022-02-08,2022,2,0
2022-02-09,2022,2,0
2022-02-10,2022,2,0
2022-02-11,2022,2,0
2022-02-12,2022,2,0
2022-02-13,2022,2,0
2022-02-14,2022,2,0
2022-02-15,2022,2,0
2022-02-16,2022,2,0
2022-02-17,2022,2,0
2022-02-18,2022,2,0
2022-02-19,2022,2,0
2022-02-20,2022,2,0
2022-02-21,2022,2,0
2022-02-22,2022,2,0
2022-02-23,2022,2,0
2022-02-24,2022,2,0
2022-02-25,2022,2,0
2022-02-26,2022,2,0
2022-02-27,2022,2,0
2022-02-28,2022,2,0
2022-03-01,2022,3,0
2022-03-02,2022,3,0
2022-03-03,2022,3,0
2022-03-04,2022,3,0
2022-03-05,2022,3,0
2022-03-06,2022,3,0
2022-03-07,2022,3,0
2022-03-08,2022,3,0
2022-03-09,2022,3,0
2022-03-10,2022,3,0
2022-03-11,2022,3,0
2022-03-12,2022,3,0
2022-03-13,2022,3,0
2022-03-14,2022,3,0
2022-03-15,2022,3,0
2022-03-16,2022,3,0
2022-03-17,2022,3,0
2022-03-18,2022,3,0
2022-03-19,2022,3,0
2022-03-20,2022,3,0
2022-03-21,2022,3,0
2022-03-22,2022,3,0
2022-03-23,2022,3,0
2022-03-24,2022,3,0
2022-03-25,2022,3,0
2022-03-26,2022,3,0
2022-03-27,2022,3,0
2022-03-28,2022,3,0
2022-03-29,2022,3,0
2022-03-30,2022,3,0
2022-03-31,2022,3,0
2022-04-01,2022,4,0
2022-04-02,2022,4,0
2022-04-03,2022,4,0
2022-04-04,2022,4,0
2022-04-05,2022,4,0
2022-04-06,2022,4,0
2022-04-07,2022,4,0
2022-04-08,2022,4,0
2022-04-09,2022,4,0
2022-04-10,2022,4,0
2022-04-11,2022,4,0
2022-04-12,2022,4,0
2022-04-13,2022,4,0
2022-04-14,2022,4,0
2022-04-15,2022,4,0
2022-04-16,2022,4,0
2022-04-17,2022,4,0
2022-04-18,2022,4,0
2022-04-19,2022,4,0
2022-04-20,2022,4,0
2022-04-21,2022,4,0
2022-04-22,2022,4,0
2022-04-23,2022,4,0
2022-04-24,2022,4,1
2022-04-25,2022,4,0
2022-04-26,2022,4,0
2022-04-27,2022,4,0
2022-04-28,2022,4,0
2022-04-29,2022,4,0
2022-04-30,2022,4,0
2022-05-01,2022,5,0
2022-05-02,2022,5,0
2022-05-03,2022,5,0
2022-05-04,2022,5,0
2022-05-05,2022,5,0
2022-05-06,2022,5,0
2022-05-07,2022,5,0
2022-05-08,2022,5,0
2022-05-09,2022,5,0
2022-05-10,2022,5,0
2022-05-11,2022,5,0
2022-05-12,2022,5,0
2022-05-13,2022,5,0
2022-05-14,2022,5,0
2022-05-15,2022,5,0
2022-05-16,2022,5,0
2022-05-17,2022,5,0
2022-05-18,2022,5,0
2022-05-19,2022,5,0
2022-05-20,2022,5,0
2022-05-21,2022,5,0
2022-05-22,2022,5,0
2022-05-23,2022,5,0
2022-05-24,2022,5,0
2022-05-25,2022,5,0
2022-05-26,2022,5,0
2022-05-27,2022,5,0
2022-05-28,2022,5,0
2022-05-29,2022,5,0
2022-05-30,2022,5,0
2022-05-31,2022,5,0
2022-06-01,2022,6,0
2022-06-02,2022,6,0
2022-06-03,2022,6,0
2022-06-04,2022,6,0
2022-06-05,2022,6,0
2022-06-06,2022,6,0
2022-06-07,2022,6,0
2022-06-08,2022,6,0
2022-06-09,2022,6,0
2022-06-10,2022,6,0
2022-06-11,2022,6,0
2022-06-12,2022,6,0
2022-06-13,2022,6,0
2022-06-14,2022,6,0
2022-06-15,2022,6,0
2022-06-16,2022,6,0
2022-06-17,2022,6,0
2022-06-18,2022,6,0
2022-06-19,2022,6,0
2022-06-20,2022,6,0
2022-06-21,2022,6,0
2022-06-22,2022,6,0
2022-06-23,2022,6,0
2022-06-24,2022,6,0
2022-06-25,2022,6,0
2022-06-26,2022,6,0
2022-06-27,2022,6,0
2022-06-28,2022,6,0
2022-06-29,2022,6,0
2022-06-30,2022,6,0
2022-07-01,2022,7,0
2022-07-02,2022,7,0
2022-07-03,2022,7,0
2022-07-04,2022,7,0
2022-07-05,2022,7,0
2022-07-06,2022,7,0
2022-07-07,2022,7,0
2022-07-08,2022,7,0
2022-07-09,2022,7,0
2022-07-10,2022,7,0
2022-07-11,2022,7,0
2022-07-12,2022,7,0
2022-07-13,2022,7,0
2022-07-14,2022,7,0
2022-07-15,2022,7,0
2022-07-16,2022,7,0
2022-07-17,2022,7,0
2022-07-18,2022,7,0
2022-07-19,2022,7,1
2022-07-20,2022,7,0
2022-07-21,2022,7,0
2022-07-22,2022,7,0
2022-07-23,2022,7,0
2022-07-24,2022,7,0
2022-07-25,2022,7,0
2022-07-26,2022,7,0
2022-07-27,2022,7,0
2022-07-28,2022,7,2
2022-07-29,2022,7,0
2022-07-30,2022,7,0
2022-07-31,2022,7,0
2022-08-01,2022,8,0
2022-08-02,2022,8,0
2022-08-03,2022,8,0
2022-08-04,2022,8,0
2022-08-05,2022,8,0
2022-08-06,2022,8,1
2022-08-07,2022,8,0
2022-08-08,2022,8,0
2022-08-09,2022,8,0
2022-08-10,2022,8,2
2022-08-11,2022,8,0
2022-08-12,2022,8,0
2022-08-13,2022,8,1
2022-08-14,2022,8,0
2022-08-15,2022,8,1
2022-08-16,2022,8,0
2022-08-17,2022,8,0
2022-08-18,2022,8,0
2022-08-19,2022,8,0
2022-08-20,2022,8,0
2022-08-21,2022,8,0
2022-08-22,2022,8,0
2022-08-23,2022,8,0
2022-08-24,2022,8,2
2022-08-25,2022,8,0
2022-08-26,2022,8,0
2022-08-27,2022,8,0
2022-08-28,2022,8,0
2022-08-29,2022,8,0
2022-08-30,2022,8,0
2022-08-31,2022,8,4
2022-09-01,2022,9,0
2022-09-02,2022,9,0
2022-09-03,2022,9,0
2022-09-04,2022,9,0
2022-09-05,2022,9,1
2022-09-06,2022,9,0
2022-09-07,2022,9,0
2022-09-08,2022,9,0
2022-09-09,2022,9,0
2022-09-10,2022,9,0
2022-09-11,2022,9,1
2022-09-12,2022,9,0
2022-09-13,2022,9,0
2022-09-14,2022,9,2
2022-09-15,2022,9,0
2022-09-16,2022,9,0
2022-09-17,2022,9,0
2022-09-18,2022,9,0
2022-09-19,2022,9,0
2022-09-20,2022,9,0
2022-09-21,2022,9,6
2022-09-22,2022,9,0
2022-09-23,2022,9,7
2022-09-24,2022,9,0
2022-09-25,2022,9,3
2022-09-26,2022,9,0
2022-09-27,2022,9,2
2022-09-28,2022,9,3
2022-09-29,2022,9,0
2022-09-30,2022,9,1
2022-10-01,2022,10,0
2022-10-02,2022,10,0
2022-10-03,2022,10,0
2022-10-04,2022,10,0
2022-10-05,2022,10,0
2022-10-06,2022,10,0
2022-10-07,2022,10,0
2022-10-08,2022,10,0
2022-10-09,2022,10,4
2022-10-10,2022,10,0
2022-10-11,2022,10,0
2022-10-12,2022,10,0
2022-10-13,2022,10,0
2022-10-14,2022,10,0
2022-10-15,2022,10,0
2022-10-16,2022,10,0
2022-10-17,2022,10,0
2022-10-18,2022,10,0
2022-10-19,2022,10,0
2022-10-20,2022,10,0
2022-10-21,2022,10,0
2022-10-22,2022,10,0
2022-10-23,2022,10,2
2022-10-24,2022,10,0
2022-10-25,2022,10,0
2022-10-26,2022,10,0
2022-10-27,2022,10,3
2022-10-28,2022,10,0
2022-10-29,2022,10,0
2022-10-30,2022,10,0
2022-10-31,2022,10,0
2022-11-01,2022,11,0
2022-11-02,2022,11,0
2022-11-03,2022,11,0
2022-11-04,2022,11,0
2022-11-05,2022,11,0
2022-11-06,2022,11,1
2022-11-07,2022,11,0
2022-11-08,2022,11,0
2022-11-09,2022,11,0
2022-11-10,2022,11,0
2022-11-11,2022,11,0
2022-11-12,2022,11,0
2022-11-13,2022,11,0
2022-11-14,2022,11,0
2022-11-15,2022,11,0
2022-11-16,2022,11,0
2022-11-17,2022,11,0
2022-11-18,2022,11,0
2022-11-19,2022,11,0
2022-11-20,2022,11,0
2022-11-21,2022,11,0
2022-11-22,2022,11,0
2022-11-23,2022,11,0
2022-11-24,2022,11,0
2022-11-25,2022,11,0
2022-11-26,2022,11,0
2022-11-27,2022,11,0
2022-11-28,2022,11,0
2022-11-29,2022,11,0
2022-11-30,2022,11,0
2022-12-01,2022,12,0
2022-12-02,2022,12,0
2022-12-03,2022,12,0
2022-12-04,2022,12,0
2022-12-05,2022,12,0
2022-12-06,2022,12,0
2022-12-07,2022,12,0
2022-12-08,2022,12,1
2022-12-09,2022,12,0
2022-12-10,2022,12,0
2022-12-11,2022,12,0
2022-12-12,2022,12,0
2022-12-13,2022,12,0
2022-12-14,2022,12,0
2022-12-15,2022,12,0
2022-12-16,2022,12,0
2022-12-17,2022,12,0
2022-12-18,2022,12,0
2022-12-19,2022,12,0
2022-12-20,2022,12,0
2022-12-21,2022,12,0
2022-12-22,2022,12,0
2022-12-23,2022,12,0
2022-12-24,2022,12,0
2022-12-25,2022,12,0
2022-12-26,2022,12,0
2022-12-27,2022,12,0
2022-12-28,2022,12,0
2022-12-29,2022,12,0
2022-12-30,2022,12,0
2022-12-31,2022,12,0
2023-01-01,2023,1,0
2023-01-02,2023,1,0
2023-01-03,2023,1,0
2023-01-04,2023,1,0
2023-01-05,2023,1,0
2023-01-06,2023,1,0
2023-01-07,2023,1,1
2023-01-08,2023,1,0
2023-01-09,2023,1,0
2023-01-10,2023,1,0
2023-01-11,2023,1,0
2023-01-12,2023,1,1
2023-01-13,2023,1,0
2023-01-14,2023,1,0
2023-01-15,2023,1,0
2023-01-16,2023,1,0
2023-01-17,2023,1,0
2023-01-18,2023,1,0
2023-01-19,2023,1,0
2023-01-20,2023,1,0
2023-01-21,2023,1,0
2023-01-22,2023,1,0
2023-01-23,2023,1,0
2023-01-24,2023,1,0
2023-01-25,2023,1,0
2023-01-26,2023,1,0
2023-01-27,2023,1,0
2023-01-28,2023,1,0
2023-01-29,2023,1,0
2023-01-30,2023,1,0
2023-01-31,2023,1,0
2023-02-01,2023,2,0
2023-02-02,2023,2,0
2023-02-03,2023,2,0
2023-02-04,2023,2,0
2023-02-05,2023,2,0
2023-02-06,2023,2,0
2023-02-07,2023,2,0
2023-02-08,2023,2,1
2023-02-09,2023,2,0
2023-02-10,2023,2,0
2023-02-11,2023,2,0
2023-02-12,2023,2,0
2023-02-13,2023,2,0
2023-02-14,2023,2,1
2023-02-15,2023,2,0
2023-02-16,2023,2,0
2023-02-17,2023,2,0
2023-02-18,2023,2,0
2023-02-19,2023,2,0
2023-02-20,2023,2,0
2023-02-21,2023,2,0
2023-02-22,2023,2,0
2023-02-23,2023,2,0
2023-02-24,2023,2,0
2023-02-25,2023,2,0
2023-02-26,2023,2,0
2023-02-27,2023,2,0
2023-02-28,2023,2,0
2023-03-01,2023,3,0
2023-03-02,2023,3,0
2023-03-03,2023,3,0
2023-03-04,2023,3,0
2023-03-05,2023,3,0
2023-03-06,2023,3,0
2023-03-07,2023,3,0
2023-03-08,2023,3,0
2023-03-09,2023,3,0
2023-03-10,2023,3,2
2023-03-11,2023,3,0
2023-03-12,2023,3,0
2023-03-13,2023,3,0
2023-03-14,2023,3,2
2023-03-15,2023,3,0
2023-03-16,2023,3,0
2023-03-17,2023,3,0
2023-03-18,2023,3,0
2023-03-19,2023,3,1
2023-03-20,2023,3,0
2023-03-21,2023,3,0
2023-03-22,2023,3,4
2023-03-23,2023,3,1
2023-03-24,2023,3,0
2023-03-25,2023,3,0
2023-03-26,2023,3,0
2023-03-27,2023,3,1
2023-03-28,2023,3,0
2023-03-29,2023,3,0
2023-03-30,2023,3,0
2023-03-31,2023,3,0
2023-04-01,2023,4,1
2023-04-02,2023,4,0
2023-04-03,2023,4,0
2023-04-04,2023,4,0
2023-04-05,2023,4,0
2023-04-06,2023,4,0
2023-04-07,2023,4,0
2023-04-08,2023,4,0
2023-04-09,2023,4,0
2023-04-10,2023,4,0
2023-04-11,2023,4,0
2023-04-12,2023,4,0
2023-04-13,2023,4,0
2023-04-14,2023,4,0
2023-04-15,2023,4,0
2023-04-16,2023,4,0
2023-04-17,2023,4,0
2023-04-18,2023,4,0
2023-04-19,2023,4,1
2023-04-20,2023,4,1
2023-04-21,2023,4,0
2023-04-22,2023,4,0
2023-04-23,2023,4,0
2023-04-24,2023,4,0
2023-04-25,2023,4,0
2023-04-26,2023,4,0
2023-04-27,2023,4,0
2023-04-28,2023,4,1
2023-04-29,2023,4,0
2023-04-30,2023,4,0
2023-05-01,2023,5,0
2023-05-02,2023,5,0
2023-05-03,2023,5,0
2023-05-04,2023,5,0
2023-05-05,2023,5,0
2023-05-06,2023,5,0
2023-05-07,2023,5,0
2023-05-08,2023,5,0
2023-05-09,2023,5,0
2023-05-10,2023,5,0
2023-05-11,2023,5,0
2023-05-12,2023,5,0
2023-05-13,2023,5,0
2023-05-14,2023,5,1
2023-05-15,2023,5,0
2023-05-16,2023,5,0
2023-05-17,2023,5,0
2023-05-18,2023,5,0
2023-05-19,2023,5,1
2023-05-20,2023,5,0
2023-05-21,2023,5,0
2023-05-22,2023,5,2
2023-05-23,2023,5,0
2023-05-24,2023,5,0
2023-05-25,2023,5,0
2023-05-26,2023,5,1
2023-05-27,2023,5,0
2023-05-28,2023,5,0
2023-05-29,2023,5,0
2023-05-30,2023,5,0
2023-05-31,2023,5,0
2023-06-01,2023,6,0
2023-06-02,2023,6,1
2023-06-03,2023,6,0
2023-06-04,2023,6,0
2023-06-05,2023,6,0
2023-06-06,2023,6,0
2023-06-07,2023,6,0
2023-06-08,2023,6,1
2023-06-09,2023,6,1
2023-06-10,2023,6,0
2023-06-11,2023,6,0
2023-06-12,2023,6,1
2023-06-13,2023,6,2
2023-06-14,2023,6,0
2023-06-15,2023,6,0
2023-06-16,2023,6,0
2023-06-17,2023,6,1
2023-06-18,2023,6,0
2023-06-19,2023,6,0
2023-06-20,2023,6,1
2023-06-21,2023,6,0
2023-06-22,2023,6,3
2023-06-23,2023,6,2
2023-06-24,2023,6,4
2023-06-25,2023,6,2
2023-06-26,2023,6,5
2023-06-27,2023,6,1
2023-06-28,2023,6,1
2023-06-29,2023,6,4
2023-06-30,2023,6,7
2023-07-01,2023,7,1
2023-07-02,2023,7,0
2023-07-03,2023,7,0
2023-07-04,2023,7,0
2023-07-05,2023,7,1
2023-07-06,2023,7,0
2023-07-07,2023,7,6
2023-07-08,2023,7,2
2023-07-09,2023,7,2
2023-07-10,2023,7,0
2023-07-11,2023,7,0
2023-07-12,2023,7,7
2023-07-13,2023,7,2
2023-07-14,2023,7,5
2023-07-15,2023,7,0
2023-07-16,2023,7,2
2023-07-17,2023,7,7
2023-07-18,2023,7,4
2023-07-19,2023,7,1
2023-07-20,2023,7,1
2023-07-21,2023,7,4
2023-07-22,2023,7,0
2023-07-23,2023,7,1
2023-07-24,2023,7,5
2023-07-25,2023,7,29
2023-07-26,2023,7,16
2023-07-27,2023,7,4
2023-07-28,2023,7,27
2023-07-29,2023,7,4
2023-07-30,2023,7,1
2023-07-31,2023,7,0
2023-08-01,2023,8,3
2023-08-02,2023,8,0
2023-08-03,2023,8,0
2023-08-04,2023,8,0
2023-08-05,2023,8,0
2023-08-06,2023,8,3
2023-08-07,2023,8,1
2023-08-08,2023,8,6
2023-08-09,2023,8,9
2023-08-10,2023,8,4
2023-08-11,2023,8,2
2023-08-12,2023,8,17
2023-08-13,2023,8,6
2023-08-14,2023,8,0
2023-08-15,2023,8,1
2023-08-16,2023,8,6
2023-08-17,2023,8,1
2023-08-18,2023,8,9
2023-08-19,2023,8,10
2023-08-20,2023,8,15
2023-08-21,2023,8,12
2023-08-22,2023,8,48
2023-08-23,2023,8,17
2023-08-24,2023,8,9
2023-08-25,2023,8,11
2023-08-26,2023,8,17
2023-08-27,2023,8,3
2023-08-28,2023,8,7
2023-08-29,2023,8,7
2023-08-30,2023,8,3
2023-08-31,2023,8,9
2023-09-01,2023,9,20
2023-09-02,2023,9,56
2023-09-03,2023,9,30
2023-09-04,2023,9,128
2023-09-05,2023,9,169
2023-09-06,2023,9,34
2023-09-07,2023,9,10
2023-09-08,2023,9,4
2023-09-09,2023,9,15
2023-09-10,2023,9,55
2023-09-11,2023,9,3
2023-09-12,2023,9,1
2023-09-13,2023,9,6
2023-09-14,2023,9,8
2023-09-15,2023,9,15
2023-09-16,2023,9,3
2023-09-17,2023,9,3
2023-09-18,2023,9,3
2023-09-19,2023,9,3
2023-09-20,2023,9,0
2023-09-21,2023,9,5
2023-09-22,2023,9,0
2023-09-23,2023,9,1
2023-09-24,2023,9,1
2023-09-25,2023,9,17
2023-09-26,2023,9,14
2023-09-27,2023,9,12
2023-09-28,2023,9,9
2023-09-29,2023,9,4
2023-09-30,2023,9,16
2023-10-01,2023,10,5
2023-10-02,2023,10,10
2023-10-03,2023,10,2
2023-10-04,2023,10,5
2023-10-05,2023,10,11
2023-10-06,2023,10,5
2023-10-07,2023,10,17
2023-10-08,2023,10,36
2023-10-09,2023,10,35
2023-10-10,2023,10,28
2023-10-11,2023,10,28
2023-10-12,2023,10,8
2023-10-13,2023,10,1
2023-10-14,2023,10,1
2023-10-15,2023,10,0
2023-10-16,2023,10,0
2023-10-17,2023,10,0
2023-10-18,2023,10,1
2023-10-19,2023,10,1
2023-10-20,2023,10,0
2023-10-21,2023,10,1
2023-10-22,2023,10,0
2023-10-23,2023,10,0
2023-10-24,2023,10,2
2023-10-25,2023,10,4
2023-10-26,2023,10,5
2023-10-27,2023,10,4
2023-10-28,2023,10,2
2023-10-29,2023,10,5
2023-10-30,2023,10,0
2023-10-31,2023,10,3
2023-11-01,2023,11,4
2023-11-02,2023,11,3
2023-11-03,2023,11,1
2023-11-04,2023,11,1
2023-11-05,2023,11,1
2023-11-06,2023,11,1
2023-11-07,2023,11,0
2023-11-08,2023,11,0
2023-11-09,2023,11,1
2023-11-10,2023,11,2
2023-11-11,2023,11,3
2023-11-12,2023,11,2
2023-11-13,2023,11,3
2023-11-14,2023,11,3
2023-11-15,2023,11,5
2023-11-16,2023,11,4
2023-11-17,2023,11,6
2023-11-18,2023,11,7
2023-11-19,2023,11,6
2023-11-20,2023,11,2
2023-11-21,2023,11,0
2023-11-22,2023,11,0
2023-11-23,2023,11,0
2023-11-24,2023,11,0
2023-11-25,2023,11,0
2023-11-26,2023,11,0
2023-11-27,2023,11,0
2023-11-28,2023,11,3
2023-11-29,2023,11,2
2023-11-30,2023,11,4
2023-12-01,2023,12,4
2023-12-02,2023,12,0
2023-12-03,2023,12,0
2023-12-04,2023,12,0
2023-12-05,2023,12,0
2023-12-06,2023,12,1
2023-12-07,2023,12,1
2023-12-08,2023,12,0
2023-12-09,2023,12,0
2023-12-10,2023,12,1
2023-12-11,2023,12,0
2023-12-12,2023,12,0
2023-12-13,2023,12,0
2023-12-14,2023,12,0
2023-12-15,2023,12,0
2023-12-16,2023,12,0
2023-12-17,2023,12,0
2023-12-18,2023,12,1
2023-12-19,2023,12,0
2023-12-20,2023,12,0
2023-12-21,2023,12,0
2023-12-22,2023,12,0
2023-12-23,2023,12,0
2023-12-24,2023,12,0
2023-12-25,2023,12,0
2023-12-26,2023,12,0
2023-12-27,2023,12,0
2023-12-28,2023,12,0
2023-12-29,2023,12,0
2023-12-30,2023,12,0
2023-12-31,2023,12,0
2024-01-01,2024,1,0
2024-01-02,2024,1,0
2024-01-03,2024,1,0
2024-01-04,2024,1,1
2024-01-05,2024,1,0
2024-01-06,2024,1,0
2024-01-07,2024,1,3
2024-01-08,2024,1,4
2024-01-09,2024,1,3
2024-01-10,2024,1,1
2024-01-11,2024,1,2
2024-01-12,2024,1,0
2024-01-13,2024,1,0
2024-01-14,2024,1,0
2024-01-15,2024,1,0
2024-01-16,2024,1,0
2024-01-17,2024,1,0
2024-01-18,2024,1,0
2024-01-19,2024,1,0
2024-01-20,2024,1,6
2024-01-21,2024,1,1
2024-01-22,2024,1,0
2024-01-23,2024,1,0
2024-01-24,2024,1,1
2024-01-25,2024,1,0
2024-01-26,2024,1,0
2024-01-27,2024,1,0
2024-01-28,2024,1,0
2024-01-29,2024,1,1
2024-01-30,2024,1,0
2024-01-31,2024,1,2
2024-02-01,2024,2,0
2024-02-02,2024,2,0
2024-02-03,2024,2,0
2024-02-04,2024,2,1
2024-02-05,2024,2,0
2024-02-06,2024,2,1
2024-02-07,2024,2,0
2024-02-08,2024,2,0
2024-02-09,2024,2,0
2024-02-10,2024,2,0
2024-02-11,2024,2,2
2024-02-12,2024,2,0
2024-02-13,2024,2,0
2024-02-14,2024,2,0
2024-02-15,2024,2,1
2024-02-16,2024,2,0
2024-02-17,2024,2,0
2024-02-18,2024,2,0
2024-02-19,2024,2,0
2024-02-20,2024,2,4
2024-02-21,2024,2,3
2024-02-22,2024,2,7
2024-02-23,2024,2,3
2024-02-24,2024,2,7
2024-02-25,2024,2,0
2024-02-26,2024,2,0
2024-02-27,2024,2,0
2024-02-28,2024,2,1
2024-02-29,2024,2,0
2024-03-01,2024,3,0
2024-03-02,2024,3,1
2024-03-03,2024,3,0
2024-03-04,2024,3,0
2024-03-05,2024,3,1
2024-03-06,2024,3,2
2024-03-07,2024,3,2
2024-03-08,2024,3,0
2024-03-09,2024,3,0
2024-03-10,2024,3,0
2024-03-11,2024,3,0
2024-03-12,2024,3,0
2024-03-13,2024,3,1
2024-03-14,2024,3,0
